"category","index","accuracy"
"Model 9","10181","2"
"Model 9","10029","4"
"Model 10","14300","2"
"Model 10","827","1"
"Actual","11746","3"
"Model 10","1197","1"
"Model 10","10163","2"
"Model 9","7123","4"
"Model 10","4429","4"
"Model 10","11182","4"
"Model 10","13889","4"
"Actual","9622","2"
"Model 10","7219","2"
"Model 9","13782","1"
"Actual","9177","2"
"Actual","14137","4"
"Model 9","11901","2"
"Actual","10734","3"
"Model 10","14878","2"
"Actual","2982","4"
"Model 10","7156","2"
"Model 10","1201","4"
"Actual","2223","3"
"Actual","4139","4"
"Actual","5468","3"
"Model 10","10550","1"
"Model 10","3916","4"
"Model 9","10515","1"
"Actual","891","2"
"Model 10","2063","4"
"Model 10","7847","3"
"Model 10","9515","2"
"Model 9","12073","2"
"Model 10","10458","2"
"Model 9","2416","2"
"Model 9","988","4"
"Model 10","8854","2"
"Model 10","14221","4"
"Model 9","11231","1"
"Actual","629","1"
"Actual","3780","4"
"Model 10","10207","2"
"Actual","6661","2"
"Model 10","2397","1"
"Model 9","1565","4"
"Actual","2367","3"
"Model 9","10965","3"
"Model 10","2429","1"
"Model 9","10497","2"
"Model 10","8783","4"
"Actual","6741","4"
"Model 9","14077","4"
"Actual","7138","4"
"Model 9","5655","4"
"Actual","2241","4"
"Model 9","5890","3"
"Model 10","4928","1"
"Model 9","9727","4"
"Actual","10514","3"
"Actual","7007","1"
"Model 10","12973","2"
"Model 10","13774","4"
"Model 9","6279","1"
"Model 10","14434","3"
"Model 9","11842","3"
"Model 9","13660","3"
"Model 10","6662","4"
"Model 10","10659","3"
"Actual","8104","4"
"Actual","8132","2"
"Model 9","6337","4"
"Model 10","7096","1"
"Actual","7921","1"
"Actual","5149","2"
"Model 9","2257","1"
"Actual","255","2"
"Model 10","8253","4"
"Model 10","8039","1"
"Model 9","5812","1"
"Model 10","6635","2"
"Model 9","9845","3"
"Actual","2444","4"
"Model 9","8378","4"
"Model 9","5644","1"
"Model 9","7176","3"
"Model 10","1990","1"
"Actual","3374","1"
"Actual","13381","4"
"Model 9","13049","2"
"Actual","4934","1"
"Actual","12737","4"
"Model 9","12162","4"
"Model 10","10864","4"
"Actual","2227","4"
"Actual","14700","2"
"Actual","1328","4"
"Actual","10457","3"
"Model 10","14834","4"
"Actual","4490","1"
"Model 10","3625","1"
"Model 9","9066","4"
"Model 9","2736","4"
"Model 9","1608","4"
"Actual","13987","3"
"Model 9","10816","2"
"Model 9","9627","3"
"Actual","12122","4"
"Model 10","10155","4"
"Model 9","1506","3"
"Actual","14769","1"
"Model 10","8420","2"
"Model 10","2558","1"
"Actual","11034","4"
"Actual","9492","2"
"Model 10","4712","4"
"Model 10","1160","2"
"Actual","767","4"
"Model 9","246","2"
"Actual","6023","1"
"Model 10","3308","4"
"Actual","3729","3"
"Model 10","8181","3"
"Actual","5082","2"
"Model 10","4283","3"
"Actual","8635","3"
"Model 9","4182","3"
"Model 9","11455","2"
"Actual","2226","4"
"Model 9","4530","2"
"Actual","11570","2"
"Actual","10936","1"
"Actual","12282","4"
"Actual","1963","1"
"Model 10","14240","2"
"Actual","5126","4"
"Model 10","11427","4"
"Actual","9102","1"
"Model 9","6027","4"
"Model 10","4038","2"
"Actual","9146","2"
"Model 10","1638","1"
"Model 10","3391","1"
"Actual","1927","3"
"Model 10","7863","3"
"Model 9","6479","1"
"Actual","5067","3"
"Model 10","13592","2"
"Actual","7837","0"
"Model 9","1770","4"
"Actual","8029","2"
"Model 9","5246","4"
"Actual","13821","2"
"Model 9","10659","2"
"Model 10","6840","4"
"Actual","10931","3"
"Model 9","13339","4"
"Actual","1197","0"
"Actual","1179","4"
"Model 9","2979","4"
"Model 10","8044","4"
"Model 9","2401","2"
"Model 10","2204","1"
"Actual","1949","0"
"Model 10","7958","1"
"Actual","5330","2"
"Model 10","4580","3"
"Model 9","8080","2"
"Actual","419","4"
"Model 10","6888","4"
"Model 9","1777","4"
"Model 10","13957","3"
"Model 9","5260","3"
"Actual","9796","0"
"Model 9","7509","3"
"Model 10","6354","2"
"Model 10","14423","2"
"Model 9","10829","1"
"Model 9","8654","2"
"Actual","8319","2"
"Model 10","1321","3"
"Model 9","2016","4"
"Model 10","7385","3"
"Model 9","10642","4"
"Model 9","11596","3"
"Model 9","14872","4"
"Actual","662","2"
"Model 10","11966","1"
"Actual","8493","3"
"Model 9","11276","4"
"Model 10","2116","2"
"Actual","6491","4"
"Model 10","3253","4"
"Model 9","11479","2"
"Actual","10347","2"
"Model 10","12895","3"
"Model 10","13090","1"
"Model 10","1159","1"
"Model 10","5640","4"
"Model 10","14148","2"
"Model 9","3856","4"
"Actual","14821","1"
"Model 10","5696","4"
"Model 9","2397","1"
"Actual","6803","3"
"Model 9","5982","4"
"Actual","13413","2"
"Actual","12400","4"
"Model 10","5282","4"
"Model 10","5659","1"
"Model 10","9546","2"
"Model 10","6844","3"
"Model 9","7529","4"
"Model 9","4179","2"
"Model 9","6755","2"
"Actual","14599","3"
"Model 10","12696","1"
"Actual","9128","4"
"Model 10","12241","1"
"Actual","8530","1"
"Actual","13399","1"
"Model 10","11695","2"
"Model 9","6098","3"
"Actual","7599","1"
"Model 9","6331","3"
"Model 10","589","4"
"Model 10","6824","4"
"Model 10","5206","4"
"Model 10","13743","3"
"Model 9","4881","4"
"Actual","1315","3"
"Model 10","5166","4"
"Model 9","14768","2"
"Actual","6780","3"
"Model 9","8384","2"
"Model 10","4152","3"
"Model 10","11421","3"
"Model 9","1183","1"
"Actual","12581","2"
"Model 9","13774","4"
"Model 9","8856","2"
"Model 9","663","4"
"Actual","1332","4"
"Actual","1684","1"
"Actual","7803","1"
"Model 10","12073","3"
"Model 10","146","4"
"Actual","2072","4"
"Model 9","14813","3"
"Actual","2803","2"
"Actual","7156","1"
"Model 10","11714","2"
"Actual","4469","3"
"Model 10","300","1"
"Model 9","13219","4"
"Model 9","4287","1"
"Model 9","6824","4"
"Actual","8838","4"
"Model 10","13248","4"
"Model 9","10064","3"
"Model 10","7977","3"
"Model 9","8962","4"
"Actual","6466","1"
"Actual","2603","4"
"Model 10","10500","1"
"Model 10","2399","0"
"Actual","2863","1"
"Model 9","11433","4"
"Actual","9094","3"
"Model 10","1545","1"
"Model 10","6917","1"
"Model 10","14387","2"
"Actual","12631","1"
"Model 9","10425","1"
"Model 9","10623","1"
"Actual","6027","4"
"Model 10","9737","3"
"Model 10","5552","4"
"Model 10","1377","4"
"Model 10","2331","2"
"Model 10","6672","4"
"Actual","13414","0"
"Model 9","9084","3"
"Model 10","9215","3"
"Model 9","12755","3"
"Model 9","5794","4"
"Model 9","1930","1"
"Actual","6955","4"
"Model 9","106","2"
"Actual","5313","4"
"Model 10","4445","3"
"Actual","4777","4"
"Model 10","14742","4"
"Actual","6381","4"
"Actual","4248","2"
"Model 9","10409","2"
"Model 9","1295","1"
"Model 10","2069","3"
"Model 10","4137","4"
"Model 10","478","4"
"Model 10","9559","3"
"Model 9","5015","1"
"Actual","1955","2"
"Actual","4188","2"
"Model 10","3669","3"
"Model 9","11910","4"
"Model 10","7159","4"
"Actual","527","4"
"Model 9","4934","4"
"Model 10","14284","1"
"Model 10","7983","2"
"Model 10","142","3"
"Model 10","5144","2"
"Model 10","8387","3"
"Model 10","12265","2"
"Model 10","1941","2"
"Model 9","4674","2"
"Model 9","11259","3"
"Model 10","4357","2"
"Model 10","7136","4"
"Model 10","7718","3"
"Model 9","13591","1"
"Model 9","6711","1"
"Model 9","4904","2"
"Model 10","7118","2"
"Model 9","6620","1"
"Model 9","14829","4"
"Model 9","6463","2"
"Model 10","2690","1"
"Model 9","4803","4"
"Model 9","7565","4"
"Actual","7460","2"
"Model 10","2874","1"
"Actual","372","4"
"Actual","8629","3"
"Actual","8959","1"
"Model 9","8329","3"
"Actual","11811","3"
"Model 10","4326","4"
"Model 9","4152","3"
"Actual","10595","3"
"Model 10","9317","4"
"Actual","8645","4"
"Actual","2245","2"
"Model 9","9331","2"
"Model 9","1647","1"
"Model 9","448","2"
"Actual","13607","4"
"Model 9","7160","2"
"Actual","1034","3"
"Model 9","10384","4"
"Actual","5748","3"
"Model 9","1505","2"
"Model 9","5149","4"
"Model 9","2541","1"
"Actual","8558","3"
"Actual","5382","3"
"Actual","2373","2"
"Actual","2541","2"
"Actual","10043","3"
"Model 10","12543","4"
"Actual","14709","1"
"Actual","14931","4"
"Model 9","1054","4"
"Model 10","12624","3"
"Model 9","7617","4"
"Model 9","1282","3"
"Model 9","10438","3"
"Model 10","6754","2"
"Model 9","10347","1"
"Model 9","7985","1"
"Model 9","8899","4"
"Actual","12076","3"
"Model 10","5330","4"
"Model 10","14542","4"
"Model 9","14284","1"
"Model 9","883","4"
"Model 10","2245","3"
"Model 9","9379","3"
"Model 10","2465","3"
"Model 10","8514","4"
"Model 10","9173","4"
"Model 9","11408","2"
"Model 9","9295","2"
"Model 9","6139","3"
"Model 9","2336","1"
"Model 10","586","3"
"Actual","5496","4"
"Actual","407","2"
"Model 10","8560","1"
"Model 10","2398","2"
"Actual","2385","2"
"Model 10","5470","2"
"Model 9","12960","4"
"Model 9","9614","2"
"Actual","11868","1"
"Actual","11970","4"
"Model 9","13338","4"
"Actual","321","2"
"Model 10","3038","4"
"Actual","6737","4"
"Actual","12268","3"
"Model 9","9933","4"
"Model 9","10828","3"
"Actual","3405","3"
"Model 9","11483","1"
"Model 9","5905","3"
"Actual","1761","3"
"Model 9","1537","1"
"Model 10","3592","4"
"Actual","12230","3"
"Model 9","2223","4"
"Actual","14847","4"
"Actual","13615","2"
"Actual","13101","1"
"Actual","3577","1"
"Actual","2990","2"
"Model 10","9066","4"
"Model 10","1548","2"
"Actual","3592","3"
"Model 9","10292","4"
"Model 9","7863","3"
"Model 9","9429","4"
"Model 10","12334","2"
"Model 10","8267","2"
"Model 9","1038","1"
"Model 9","12847","2"
"Model 10","13520","2"
"Actual","12396","1"
"Model 10","10953","3"
"Actual","537","4"
"Model 10","11001","4"
"Model 9","13678","2"
"Actual","8076","1"
"Model 10","5823","1"
"Model 9","12515","2"
"Model 9","4822","3"
"Actual","7291","4"
"Model 10","10217","2"
"Model 10","14772","4"
"Model 9","11571","4"
"Model 9","2664","1"
"Model 9","6014","3"
"Model 10","11478","3"
"Model 9","1377","4"
"Model 9","10235","2"
"Actual","7167","4"
"Model 9","14669","4"
"Actual","11048","4"
"Model 9","1729","4"
"Model 10","7930","2"
"Model 9","14098","1"
"Actual","10519","1"
"Actual","7608","2"
"Model 9","4108","1"
"Actual","5350","1"
"Actual","13241","3"
"Model 9","222","4"
"Actual","7569","3"
"Model 9","115","1"
"Model 10","14669","4"
"Model 9","12911","1"
"Model 10","419","2"
"Model 10","9680","1"
"Actual","13494","0"
"Actual","13323","1"
"Actual","8176","1"
"Actual","1790","1"
"Model 10","11496","4"
"Actual","14138","3"
"Actual","9311","1"
"Actual","5411","2"
"Model 10","11272","4"
"Model 10","847","4"
"Model 10","2712","4"
"Model 9","1454","2"
"Model 9","14687","1"
"Actual","4069","1"
"Actual","10365","1"
"Model 10","11285","3"
"Model 9","6530","1"
"Model 10","7124","1"
"Model 9","14761","1"
"Actual","9439","1"
"Model 10","11575","4"
"Actual","1216","2"
"Model 10","9793","2"
"Actual","10846","4"
"Actual","13853","4"
"Actual","2432","4"
"Model 10","6130","2"
"Actual","4080","4"
"Actual","12808","1"
"Model 10","7575","2"
"Actual","1282","2"
"Model 10","2362","3"
"Actual","8729","2"
"Model 10","5504","4"
"Actual","12843","4"
"Model 9","4645","3"
"Actual","7350","1"
"Model 10","4287","2"
"Actual","5435","1"
"Model 10","921","2"
"Model 10","11045","4"
"Actual","9106","1"
"Model 9","2641","3"
"Model 10","2158","2"
"Model 10","11811","4"
"Model 9","6023","1"
"Actual","14281","2"
"Model 10","13853","4"
"Model 9","6616","2"
"Actual","4702","3"
"Model 10","14870","4"
"Model 9","5073","4"
"Model 10","1847","4"
"Model 9","12884","4"
"Actual","7364","3"
"Model 9","3669","3"
"Actual","9692","1"
"Model 9","4516","4"
"Model 9","5825","1"
"Actual","6498","4"
"Actual","12579","2"
"Actual","2940","2"
"Actual","13769","1"
"Model 9","14892","3"
"Model 9","8747","4"
"Actual","2998","2"
"Model 10","6215","2"
"Actual","5645","1"
"Actual","5096","1"
"Actual","6988","4"
"Model 9","5851","2"
"Model 10","9128","4"
"Model 9","11008","2"
"Actual","8931","1"
"Model 10","10329","3"
"Actual","11876","4"
"Model 10","2051","1"
"Model 10","6798","3"
"Model 10","2868","1"
"Model 10","2655","2"
"Model 10","14319","4"
"Model 10","6491","4"
"Actual","8468","3"
"Actual","11945","4"
"Model 9","1830","3"
"Model 9","11431","1"
"Actual","6428","3"
"Model 9","13039","4"
"Actual","9066","4"
"Model 10","9132","2"
"Model 10","6992","4"
"Actual","12180","3"
"Actual","11674","3"
"Model 9","5947","4"
"Actual","7957","3"
"Actual","862","1"
"Model 10","4469","1"
"Actual","1432","3"
"Model 10","10563","2"
"Actual","11013","3"
"Model 10","1889","2"
"Actual","10215","3"
"Model 9","255","2"
"Actual","2065","2"
"Model 10","6643","1"
"Model 10","4177","1"
"Model 9","1902","2"
"Model 9","5282","4"
"Model 9","3088","2"
"Model 9","7219","2"
"Model 10","11413","1"
"Model 10","7980","2"
"Actual","1146","4"
"Model 10","6988","2"
"Model 9","6920","4"
"Actual","6398","2"
"Actual","5825","4"
"Actual","11965","4"
"Model 9","4928","1"
"Model 10","5343","4"
"Model 9","7442","4"
"Model 9","14226","4"
"Model 9","14292","3"
"Actual","893","3"
"Model 10","4881","3"
"Model 10","12809","4"
"Model 9","4282","1"
"Model 10","13652","2"
"Model 9","12763","1"
"Model 9","13287","2"
"Model 9","9591","4"
"Model 9","7385","3"
"Model 9","14462","4"
"Model 10","5714","4"
"Model 10","776","2"
"Model 9","9724","3"
"Actual","1536","1"
"Actual","8374","3"
"Actual","2611","1"
"Model 9","6091","1"
"Actual","7506","2"
"Model 9","551","1"
"Model 10","12127","3"
"Model 10","1814","4"
"Model 9","642","1"
"Actual","9724","4"
"Model 9","11089","4"
"Model 10","6612","4"
"Model 9","2687","1"
"Actual","6612","3"
"Model 9","8697","2"
"Actual","8434","4"
"Model 9","2785","3"
"Model 9","7167","4"
"Model 10","7696","1"
"Model 9","11126","4"
"Actual","14704","3"
"Model 10","11415","3"
"Model 9","12383","2"
"Model 9","2373","4"
"Model 10","11646","4"
"Actual","10292","0"
"Actual","3015","2"
"Model 10","12824","4"
"Model 10","3405","1"
"Model 10","9226","2"
"Actual","2051","3"
"Model 9","6597","3"
"Actual","12241","1"
"Actual","13465","3"
"Model 10","10560","3"
"Actual","3737","2"
"Actual","10970","2"
"Model 9","8011","4"
"Actual","12944","2"
"Model 10","6863","1"
"Model 9","6603","4"
"Model 10","10965","3"
"Actual","5041","3"
"Model 10","13926","2"
"Model 10","11795","4"
"Model 10","5793","1"
"Model 9","3733","3"
"Model 10","6806","3"
"Actual","10174","2"
"Model 10","10644","1"
"Model 10","13606","3"
"Model 9","286","3"
"Model 10","13379","4"
"Actual","6811","4"
"Model 10","11571","4"
"Model 9","9807","2"
"Actual","3570","2"
"Model 10","4660","4"
"Model 10","13909","4"
"Model 9","11299","3"
"Model 9","3203","4"
"Actual","2674","3"
"Model 9","7118","2"
"Model 10","7715","2"
"Actual","763","3"
"Model 10","2090","4"
"Actual","1770","3"
"Model 9","7580","2"
"Actual","14622","1"
"Model 9","11378","4"
"Actual","9420","1"
"Model 10","8063","1"
"Model 10","5468","2"
"Actual","7101","2"
"Model 10","11871","2"
"Model 9","4180","4"
"Model 9","12093","2"
"Actual","7080","0"
"Actual","3836","2"
"Actual","2731","4"
"Actual","2987","3"
"Model 9","7387","4"
"Model 9","308","2"
"Model 9","11411","2"
"Model 10","1432","3"
"Model 10","12843","4"
"Model 9","2391","4"
"Model 10","11896","1"
"Model 9","8177","4"
"Actual","13590","1"
"Actual","2113","2"
"Model 9","5542","4"
"Actual","2069","3"
"Model 9","4175","1"
"Model 10","3401","4"
"Model 9","248","3"
"Actual","10411","4"
"Actual","3506","1"
"Model 9","9768","2"
"Actual","14721","3"
"Model 9","10217","2"
"Model 10","10003","1"
"Model 9","4614","1"
"Model 10","1183","2"
"Model 9","12174","3"
"Model 9","5408","4"
"Model 9","5290","3"
"Model 9","1296","4"
"Model 9","9539","1"
"Model 9","1090","4"
"Model 9","3267","4"
"Model 9","2141","3"
"Actual","98","1"
"Model 10","8358","4"
"Model 9","10903","2"
"Model 9","4663","3"
"Actual","7976","1"
"Model 9","8029","2"
"Model 9","5305","4"
"Model 9","604","4"
"Model 10","3612","1"
"Model 10","1967","2"
"Model 9","13821","2"
"Actual","10375","4"
"Actual","7030","1"
"Actual","9760","2"
"Model 10","13901","4"
"Model 9","14346","4"
"Model 9","14753","3"
"Actual","5812","2"
"Actual","3834","4"
"Model 9","9680","1"
"Actual","867","2"
"Model 10","12400","2"
"Model 10","12122","4"
"Actual","14656","2"
"Model 10","1011","4"
"Model 10","12981","4"
"Model 10","9622","1"
"Model 10","3829","2"
"Model 9","851","4"
"Actual","8515","3"
"Model 10","2574","2"
"Actual","9540","1"
"Model 10","10918","3"
"Actual","5717","4"
"Actual","12667","4"
"Model 9","5118","4"
"Model 9","12260","2"
"Actual","8005","2"
"Model 10","2303","3"
"Model 10","9985","2"
"Actual","5157","3"
"Model 10","14021","4"
"Model 10","14279","2"
"Model 10","897","4"
"Actual","7330","2"
"Actual","7935","1"
"Actual","14314","1"
"Model 10","4195","4"
"Actual","13332","4"
"Model 9","14769","2"
"Model 10","2248","3"
"Model 9","5273","2"
"Model 9","7524","4"
"Model 10","5016","4"
"Actual","994","4"
"Model 10","13209","4"
"Actual","12848","3"
"Actual","7632","1"
"Model 9","11868","3"
"Actual","11454","2"
"Model 9","7922","3"
"Model 10","4040","4"
"Model 9","10256","3"
"Model 10","14806","4"
"Model 9","5969","3"
"Actual","1533","2"
"Model 9","3491","4"
"Actual","1404","4"
"Actual","13267","3"
"Model 10","3264","2"
"Model 9","14516","4"
"Actual","9187","2"
"Model 9","5792","4"
"Model 10","10031","2"
"Actual","1847","4"
"Model 9","6795","2"
"Actual","4227","2"
"Model 10","6530","1"
"Model 10","7655","4"
"Actual","13370","1"
"Actual","10015","4"
"Model 9","12707","3"
"Model 9","2226","4"
"Model 10","3929","2"
"Model 10","5721","2"
"Model 9","372","3"
"Model 9","8801","1"
"Model 9","9693","4"
"Model 10","14537","4"
"Model 9","9578","2"
"Model 9","9271","1"
"Model 9","6915","2"
"Model 9","10550","1"
"Actual","5","2"
"Model 10","28","2"
"Model 9","13248","4"
"Actual","8893","3"
"Actual","1947","2"
"Model 9","9815","4"
"Model 10","14921","1"
"Model 10","1398","2"
"Model 9","2819","1"
"Actual","14690","4"
